ID,NAME,BYTES,CHECKSUM,PARAMS,LAST_MODIFIED,STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,SID,SERIAL#,ROWS_LOADED,OPERATION_ID
1,product_manuals/19678_Aerostride_Performance_Tee.pdf,3661,,,2026-04-06T22:58:26.964Z,COMPLETED,,,2026-04-29T22:00:29.747407Z,2026-04-29T22:00:30.907654Z,3638,25568,0,
2,product_manuals/19679_Ironkinetic_Grip_Tape.pdf,3710,,,2026-04-06T22:58:37.765Z,COMPLETED,,,2026-04-29T22:00:29.74945Z,2026-04-29T22:00:30.91952Z,1902,59103,0,
3,product_manuals/19680_Canyonridge_Adjustable_Dumbbells.pdf,3741,,,2026-04-06T22:58:45.488Z,COMPLETED,,,2026-04-29T22:00:29.750485Z,2026-04-29T22:00:30.908033Z,16438,17225,0,
4,product_manuals/19681_Nordcrest_Base_Layer_Top.pdf,3670,,,2026-04-06T22:58:54.931Z,COMPLETED,,,2026-04-29T22:00:29.751835Z,2026-04-29T22:00:30.876448Z,37766,58294,0,
5,product_manuals/19682_Hydrawave_Repair_Kit.pdf,3754,,,2026-04-06T22:59:01.277Z,COMPLETED,,,2026-04-29T22:00:30.881673Z,2026-04-29T22:00:31.647137Z,37766,58294,0,
